,eventsource,eventsourcecode,ID,eventtime,Event Time,event_unix_time,Magnitude,Update Time,Evaluation Status,Magnitude Type,Latitude,Longitude,Title
0,ci,40022359,ci40022359,2022-05-19T12:52:00.230Z,5/19/22 12:52,1652964720,2.7,23:04.2,final,ml,33.5018333,-116.504,"17km ESE of Anza, CA"
0,nc,73781151,nc73781151,2022-09-13T15:24:37.250Z,9/13/22 15:24,1663082677,2.69,35:16.0,final,md,37.1288333,-121.5245,"9km ENE of San Martin, CA"
0,nc,73764871,nc73764871,2022-07-31T23:38:33.690Z,7/31/22 23:38,1659310713,2.69,39:41.3,final,md,40.5706667,-125.0858333,"69km W of Ferndale, CA"
0,nc,73727816,nc73727816,2022-05-01T20:22:01.330Z,5/1/22 20:22,1651436521,2.69,33:42.3,final,md,36.8575,-121.5958333,"5km WNW of San Juan Bautista, CA"
0,nc,73701916,nc73701916,2022-03-06T04:19:55.990Z,3/6/22 4:19,1646540395,2.69,36:53.7,final,md,38.7798333,-122.745,"1km ENE of The Geysers, CA"
0,nc,73682276,nc73682276,2022-01-23T16:57:43.060Z,1/23/22 16:57,1642957063,2.69,00:36.7,final,md,36.6675,-121.2675,"14km SSE of Tres Pinos, CA"
0,nc,73678776,nc73678776,2022-01-15T13:10:58.400Z,1/15/22 13:10,1642252258,2.69,48:23.4,final,md,40.38,-124.293,"6km N of Petrolia, CA"
0,ci,40302584,ci40302584,2022-07-12T18:29:04.760Z,7/12/22 18:29,1657650544,2.69,54:07.6,final,ml,35.793,-117.6045,"18km W of Searles Valley, CA"
0,nc,73752776,nc73752776,2022-06-30T04:30:30.370Z,6/30/22 4:30,1656563430,2.68,05:34.7,final,md,37.262,-121.6373333,"15km N of Morgan Hill, CA"
0,nc,73747016,nc73747016,2022-06-18T11:22:49.660Z,6/18/22 11:22,1655551369,2.68,24:50.1,final,md,40.5938333,-124.175,"2km WSW of Fortuna, CA"
0,nc,73741501,nc73741501,2022-06-08T12:59:47.790Z,6/8/22 12:59,1654693187,2.68,37:46.1,final,md,36.5448333,-121.1366667,"2km NNE of Pinnacles, CA"
0,nc,73719475,nc73719475,2022-04-18T05:49:53.480Z,4/18/22 5:49,1650260993,2.68,37:27.1,final,md,41.2768333,-123.9311667,"21km WNW of Weitchpec, CA"
0,nc,73708841,nc73708841,2022-03-22T16:35:40.080Z,3/22/22 16:35,1647966940,2.68,18:50.0,final,md,38.8035,-122.7916667,"4km NW of The Geysers, CA"
0,nc,73699581,nc73699581,2022-03-01T16:51:12.230Z,3/1/22 16:51,1646153472,2.68,17:05.1,final,md,37.1243333,-121.9951667,"5km SSW of Lexington Hills, CA"
0,nc,73683766,nc73683766,2022-01-27T22:07:58.380Z,1/27/22 22:07,1643321278,2.68,28:13.5,final,md,40.477,-124.3208333,"12km SSW of Ferndale, CA"
0,nc,73682211,nc73682211,2022-01-23T09:42:49.980Z,1/23/22 9:42,1642930969,2.68,14:15.1,final,md,40.299,-124.5516667,"23km W of Petrolia, CA"
0,nc,73672071,nc73672071,2022-01-01T09:48:40.700Z,1/1/22 9:48,1641030520,2.68,27:02.6,final,md,38.1096667,-118.9556667,"12km SSE of Bodie, CA"
0,ci,40099991,ci40099991,2022-09-14T01:23:36.000Z,9/14/22 1:23,1663118616,2.68,24:37.7,final,ml,35.2793333,-119.391,"15km SSE of Buttonwillow, CA"
0,nc,73781611,nc73781611,2022-09-14T18:55:06.140Z,9/14/22 18:55,1663181706,2.67,20:21.5,final,md,38.2855,-122.4135,"4km E of Sonoma, CA"
0,nc,73740866,nc73740866,2022-06-05T20:09:09.100Z,6/5/22 20:09,1654459749,2.67,56:14.0,final,md,38.7776667,-122.6258333,"3km NNW of Middletown, CA"
0,nc,73713561,nc73713561,2022-04-03T00:25:06.630Z,4/3/22 0:25,1648945506,2.67,03:24.6,final,md,36.7981667,-120.7465,"20km SSW of South Dos Palos, CA"
0,nc,73699016,nc73699016,2022-02-28T15:55:35.850Z,2/28/22 15:55,1646063735,2.67,22:36.9,final,md,40.3873333,-124.9603333,"58km W of Petrolia, CA"
0,nc,73672011,nc73672011,2022-01-01T08:33:48.700Z,1/1/22 8:33,1641026028,2.67,24:24.9,final,md,38.7745,-122.728,"2km E of The Geysers, CA"
0,ci,40300752,ci40300752,2022-07-09T18:25:43.470Z,7/9/22 18:25,1657391143,2.67,57:38.8,final,ml,34.275,-120.0095,"21km SW of Isla Vista, CA"
0,ci,40064983,ci40064983,2022-07-17T06:23:50.970Z,7/17/22 6:23,1658039030,2.67,08:52.0,final,ml,33.4225,-118.0136667,"23km SSW of Newport Beach, CA"
0,ci,39923559,ci39923559,2022-01-26T06:23:11.800Z,1/26/22 6:23,1643178191,2.67,59:14.6,final,ml,32.9071667,-118.6475,"14km SSW of San Clemente Is. (NW tip), CA"
0,nc,73774045,nc73774045,2022-08-31T23:28:49.720Z,8/31/22 23:28,1661988529,2.66,56:13.4,final,md,37.6675,-119.4313333,"15km ESE of Yosemite Valley, CA"
0,nc,73764346,nc73764346,2022-07-30T10:13:11.940Z,7/30/22 10:13,1659175991,2.66,31:25.9,final,md,40.3883333,-124.8945,"52km W of Petrolia, CA"
0,nc,73763136,nc73763136,2022-07-26T21:59:03.640Z,7/26/22 21:59,1658872743,2.66,24:10.3,final,md,40.292,-124.3845,"9km WSW of Petrolia, CA"
0,nc,73728746,nc73728746,2022-05-03T12:59:14.720Z,5/3/22 12:59,1651582754,2.66,50:24.5,final,md,38.824,-122.8008333,"6km NW of The Geysers, CA"
0,nc,73726291,nc73726291,2022-04-29T21:30:28.210Z,4/29/22 21:30,1651267828,2.66,53:39.0,final,md,37.992,-121.8908333,"4km S of Pittsburg, CA"
0,nc,73725601,nc73725601,2022-04-28T10:34:18.150Z,4/28/22 10:34,1651142058,2.66,21:54.6,final,md,40.788,-122.6485,"9km N of French Gulch, CA"
0,nc,73694996,nc73694996,2022-02-19T07:35:26.950Z,2/19/22 7:35,1645256126,2.66,03:36.6,final,md,38.0868333,-118.7413333,"27km ESE of Bodie, CA"
0,nc,73682591,nc73682591,2022-01-25T04:41:48.530Z,1/25/22 4:41,1643085708,2.66,21:35.3,final,md,40.3263333,-124.6531667,"31km W of Petrolia, CA"
0,nc,73674491,nc73674491,2022-01-06T14:18:18.760Z,1/6/22 14:18,1641478698,2.66,53:58.7,final,md,40.3688333,-124.7486667,"40km W of Petrolia, CA"
0,ci,40295976,ci40295976,2022-07-03T19:56:40.100Z,7/3/22 19:56,1656878200,2.66,19:24.7,final,ml,35.0841667,-119.1375,"24km E of Maricopa, CA"
0,ci,40020279,ci40020279,2022-05-16T15:36:38.810Z,5/16/22 15:36,1652715398,2.66,43:30.2,final,ml,35.6433333,-118.32,"14km ENE of Lake Isabella, CA"
0,uw,61840137,uw61840137,2022-06-07T01:58:28.720Z,6/7/22 1:58,1654567108,2.65,52:53.0,final,ml,45.622,-122.4558333,"3 km SE of Mill Plain, Washington"
0,nc,73771630,nc73771630,2022-08-25T06:59:29.220Z,8/25/22 6:59,1661410769,2.65,35:52.4,final,ml,40.9263333,-125.9171667,"145km WNW of Ferndale, CA"
0,nc,73770465,nc73770465,2022-08-21T18:37:46.790Z,8/21/22 18:37,1661107066,2.65,00:34.6,final,md,38.5748333,-119.4496667,"7km NNE of Walker, CA"
0,nc,73766140,nc73766140,2022-08-10T02:38:27.850Z,8/10/22 2:38,1660099107,2.65,13:42.1,final,md,36.5558333,-121.1313333,"3km NNE of Pinnacles, CA"
0,nc,73753046,nc73753046,2022-07-01T01:40:51.590Z,7/1/22 1:40,1656639651,2.65,54:59.7,final,md,40.374,-124.3055,"6km NNW of Petrolia, CA"
0,nc,73748176,nc73748176,2022-06-20T15:39:22.800Z,6/20/22 15:39,1655739562,2.65,45:48.0,final,md,37.6316667,-118.8815,"9km E of Mammoth Lakes, CA"
0,nc,73712886,nc73712886,2022-04-01T00:58:29.410Z,4/1/22 0:58,1648774709,2.65,55:43.4,final,md,36.8083333,-121.5396667,"4km S of San Juan Bautista, CA"
0,nc,73710256,nc73710256,2022-03-25T16:23:51.840Z,3/25/22 16:23,1648225431,2.65,18:24.5,final,md,38.5188333,-119.5386667,"5km W of Walker, CA"
